in:Option_ID,in:WWR_N,in:WWR_E,in:WWR_S,in:WWR_W,in:Vert_Overhang,in:Horiz_Overhang,in:Wall_R,in:Roof_R,in:Glazing_U,in:Operable_Percent,in:Scale,in:Length,in:SHGC,in:Infil,out:Peak_Cooling_Load,out:Peak_Heating_Load,out:Hours_above_acceptability,out:1,out:2,out:3,out:4,out:5,out:6,out:7,out:8,out:9,out:10,out:11
414,0.357268306,0.712645275,0.286671286,0.383382749,0.573396211,1.535894777,17.41754958,23.2170993,0.674074528,0.741390205,0.883063583,21.7184498,0.537392381,0.000464507,271070.6037,349809.9707,83,78,78,84,83,80,84,82,80,83,74,76
415,0.170539403,0.365409982,0.728661172,0.418670352,0.820543989,0.723557122,5.181581002,8.575389563,0.540708667,0.091938108,1.123815233,20.14017566,0.383629656,0.000295428,401066.6264,670059.598,83,81,76,82,85,81,83,94,82,80,80,75
416,0.641365282,0.331880547,0.204128494,0.625950835,0.418824837,1.560331471,11.79107899,11.75388886,0.42160638,0.084521816,0.880294398,26.09301054,0.289627184,0.000399256,232682.1607,389406.087,79,80,78,83,90,82,82,85,81,80,81,78
417,0.442534722,0.488594784,0.317278838,0.206395356,0.690890446,1.146975909,28.34719455,28.40654298,0.729927811,0.098029502,0.87440565,22.59796836,0.358941384,0.000358188,199332.2278,322033.326,80,80,76,83,85,81,83,87,80,79,78,73
418,0.176900426,0.449953926,0.535496281,0.164861683,0.951349061,1.444194191,11.9808578,36.27256927,0.465576395,0.779608038,0.940080472,22.27440254,0.406947952,0.000331817,223893.8931,515333.4158,79,63,68,81,81,78,82,81,79,79,70,71
419,0.572246374,0.581179934,0.625742222,0.511523169,0.336352145,0.406971636,11.70280016,14.97672755,0.919073404,0.583767328,0.974187478,25.60931804,0.428622208,0.000262608,333702.194,532147.6222,80,76,77,81,82,79,82,82,79,79,76,77
420,0.447307247,0.487171977,0.540467054,0.528836757,0.959172319,1.849524113,7.647879669,22.05918604,0.510852465,0.503438304,1.02823794,29.24922288,0.685786218,0.000448185,365854.0038,406203.2807,83,82,82,84,83,82,85,84,82,81,80,81
421,0.318104298,0.408481335,0.15848204,0.18627862,0.824509473,1.878455526,5.606823914,24.80457342,0.250465041,0.675860238,0.850576223,29.60849584,0.49200746,0.000228009,179285.433,168333.5355,83,79,78,84,84,82,84,84,83,81,74,73
422,0.187578874,0.172505959,0.449293903,0.563440708,0.187360133,1.657911427,18.62247494,10.56721473,0.726213009,0.214245199,1.029831585,23.98509275,0.250052499,0.000303343,298959.7947,517916.366,74,70,69,80,82,79,80,85,80,73,68,70
423,0.629150031,0.564286702,0.168836749,0.675846728,0.215592211,1.743801692,22.76952538,29.11948624,0.621701814,0.495039436,0.81382474,25.03477495,0.449229821,0.000244864,197459.7986,179694.701,81,79,79,86,84,83,85,83,82,80,77,80
